#{"t_start": 1777837958.6945293, "env_id": "None"}
r,l,t
19.69033,500,4524.521658
-2.590832,500,4538.606524
24.219604,500,4554.771524
8.917296,500,4572.436771
-1.76971,500,4590.354456
3.045108,500,4607.259768
49.851242,500,4629.313825
23.496016,500,4645.506658
51.484327,500,4665.391507
10.804732,500,4687.36533
34.129452,500,4700.696799
65.167436,500,4716.802731
12.912056,500,4735.179652
7.62782,500,4752.026345
188.760987,500,4766.247106
7.557273,500,4782.462532
36.946585,500,4819.841736
15.378163,500,4839.7913
2.246741,500,4856.708541
7.576543,500,4869.400254
7.022387,500,4884.513258
0.583499,500,4905.637575
56.384684,500,4921.097054
-1.277899,500,4932.151193
8.337588,500,4956.073338
0.894574,500,4971.27894
8.693368,500,4982.614804
76.50232,500,4998.099705
14.393394,500,5015.229342
17.20786,500,5026.997927
45.025003,500,5041.261714
123.187177,500,5052.986092
7.020044,500,5068.214035
35.47205,500,5092.153383
36.698842,500,5106.856917
-1.411651,500,5123.00335
99.768223,500,5137.251669
17.187857,500,5150.987749
60.506056,500,5179.441946
-0.901752,500,5195.809284
59.208592,500,5212.456612
13.995213,500,5225.509768
40.781339,500,5248.829936
40.608179,500,5264.880682
65.428185,500,5279.011358
47.757391,500,5303.077766
7.773364,500,5326.834376
5.492607,500,5353.048094
2.181917,500,5375.651504
2.608434,500,5390.341925
66.101106,500,5406.226828
22.732351,500,5429.153728
65.112396,500,5451.060285
32.085478,500,5463.977958
39.066934,500,5484.149789
4.584472,500,5498.480227
10.708292,500,5514.805209
16.713625,500,5527.5144
73.189942,500,5541.499702
39.69298,500,5555.804119
-0.200016,500,5579.329698
-0.266233,500,5595.629516
11.356426,500,5608.071198
0.680197,500,5626.983467
38.905374,500,5644.627746
0.910567,500,5662.788844
3.379602,500,5675.854264
91.155319,500,5692.335209
3.05305,500,5704.555606
87.442256,500,5728.677147
28.182687,500,5747.336609
82.130378,500,5762.224846
13.636055,500,5777.069857
21.712509,500,5792.027319
95.047823,500,5809.591751
4.687942,500,5821.627964
56.080774,500,5833.456251
5.876321,500,5851.07878
4.158797,500,5864.782256
24.864909,500,5879.316711
15.727591,500,5897.097791
96.374376,500,5910.93066
134.701315,500,5944.365317
-0.105453,500,5961.169004
40.075486,500,5979.491905
70.151994,500,5994.860564
10.73095,500,6011.990211
220.600314,500,6030.965029
54.773533,500,6043.51128
30.356201,500,6073.574497
57.646126,500,6086.87848
24.794523,500,6106.114825
65.87482,500,6118.771038
9.362135,500,6137.55224
4.431734,500,6154.067588
1.163457,500,6172.049195
7.165836,500,6187.468262
-1.689254,500,6208.504356
-1.333756,500,6227.337466
230.949801,500,6240.905922
63.898693,500,6263.578845
6.967945,500,6279.305792
54.943044,500,6295.237059
74.550752,500,6309.41843
28.131164,500,6323.444049
35.828511,500,6346.118854
28.738586,500,6359.216964
-1.131172,500,6381.620535
5.166197,500,6393.559066
78.856862,500,6413.913686
105.765914,500,6434.496055
-0.963428,500,6448.765438
29.409704,500,6471.228837
102.372139,500,6483.573125
11.331354,500,6495.552123
18.143833,500,6510.745444
100.199938,500,6530.833516
10.673283,500,6554.82034
107.286328,500,6569.17829
240.981861,500,6582.760381
164.726898,500,6609.695088
27.473217,500,6623.759851
163.795489,500,6640.741228
55.542124,500,6659.025192
53.671804,500,6671.424403
115.937754,500,6689.939604
11.003843,500,6707.89473
15.046452,500,6719.505826
43.908639,500,6732.091335
40.058991,500,6744.25007
1.783592,500,6757.860743
90.419355,500,6776.646354
0.318892,500,6796.561978
41.391756,500,6811.05016
107.799904,500,6826.981996
51.109649,500,6843.937113
16.415823,500,6856.86396
15.653985,500,6869.365752
20.098073,500,6883.703221
17.094524,500,6900.131054
53.343386,500,6915.84454
16.994922,500,6930.997795
7.18896,500,6948.957034
20.827828,500,6967.29346
88.388846,500,6988.233741
0.887744,500,7005.264876
52.957139,500,7018.185649
1.617916,500,7036.701643
51.131858,500,7051.13101
40.042538,500,7071.133185
-2.716183,500,7091.241525
